#   2H + 116Sn elastic scattering Elab=183 MeV 
#       L          |Sᴸₑₗ|
 ------- {0, -1} ------- 
       1.00       5.4719E-02
       2.00       5.4863E-02
       3.00       5.5096E-02
       4.00       5.5465E-02
       5.00       5.5922E-02
       6.00       5.6521E-02
       7.00       5.7213E-02
       8.00       5.8053E-02
       9.00       5.9009E-02
      10.00       6.0111E-02
      11.00       6.1377E-02
      12.00       6.2791E-02
      13.00       6.4430E-02
      14.00       6.6266E-02
      15.00       6.8373E-02
      16.00       7.0811E-02
      17.00       7.3589E-02
      18.00       7.6848E-02
      19.00       8.0647E-02
      20.00       8.5037E-02
      21.00       9.0190E-02
      22.00       9.6169E-02
      23.00       0.1030
      24.00       0.1109
      25.00       0.1202
      26.00       0.1311
      27.00       0.1443
      28.00       0.1618
      29.00       0.1874
      30.00       0.2259
      31.00       0.2801
      32.00       0.3485
      33.00       0.4260
      34.00       0.5067
      35.00       0.5851
      36.00       0.6575
      37.00       0.7216
      38.00       0.7766
      39.00       0.8226
      40.00       0.8604
      41.00       0.8909
      42.00       0.9152
      43.00       0.9343
      44.00       0.9494
      45.00       0.9611
      46.00       0.9701
      47.00       0.9771
      48.00       0.9825
      49.00       0.9866
      50.00       0.9898
      51.00       0.9922
      52.00       0.9941
      53.00       0.9955
      54.00       0.9966
      55.00       0.9974
      56.00       0.9980
      57.00       0.9985
      58.00       0.9988
      59.00       0.9991
      60.00       0.9993
      61.00       0.9995
      62.00       0.9996
      63.00       0.9997
      64.00       0.9998
      65.00       0.9998
      66.00       0.9999
      67.00       0.9999
      68.00       0.9999
      69.00       0.9999
      70.00       1.0000
      71.00       1.0000

, ------- {0, 0} ------- 
       1.00       5.4815E-02
       2.00       5.5057E-02
       3.00       5.5391E-02
       4.00       5.5869E-02
       5.00       5.6443E-02
       6.00       5.7170E-02
       7.00       5.8008E-02
       8.00       5.9000E-02
       9.00       6.0135E-02
      10.00       6.1418E-02
      11.00       6.2890E-02
      12.00       6.4512E-02
      13.00       6.6354E-02
      14.00       6.8396E-02
      15.00       7.0651E-02
      16.00       7.3189E-02
      17.00       7.5971E-02
      18.00       7.9055E-02
      19.00       8.2506E-02
      20.00       8.6293E-02
      21.00       9.0499E-02
      22.00       9.5237E-02
      23.00       0.1005
      24.00       0.1065
      25.00       0.1134
      26.00       0.1216
      27.00       0.1316
      28.00       0.1445
      29.00       0.1638
      30.00       0.1954
      31.00       0.2450
      32.00       0.3128
      33.00       0.3935
      34.00       0.4794
      35.00       0.5636
      36.00       0.6413
      37.00       0.7099
      38.00       0.7684
      39.00       0.8170
      40.00       0.8566
      41.00       0.8884
      42.00       0.9135
      43.00       0.9333
      44.00       0.9487
      45.00       0.9606
      46.00       0.9698
      47.00       0.9769
      48.00       0.9824
      49.00       0.9866
      50.00       0.9898
      51.00       0.9922
      52.00       0.9941
      53.00       0.9955
      54.00       0.9966
      55.00       0.9974
      56.00       0.9980
      57.00       0.9985
      58.00       0.9988
      59.00       0.9991
      60.00       0.9993
      61.00       0.9995
      62.00       0.9996
      63.00       0.9997
      64.00       0.9998
      65.00       0.9998
      66.00       0.9999
      67.00       0.9999
      68.00       0.9999
      69.00       0.9999
      70.00       1.0000

, ------- {0, 1} ------- 
       0.00       5.4808E-02
       1.00       5.5007E-02
       2.00       5.5347E-02
       3.00       5.5783E-02
       4.00       5.6371E-02
       5.00       5.7067E-02
       6.00       5.7924E-02
       7.00       5.8911E-02
       8.00       6.0058E-02
       9.00       6.1375E-02
      10.00       6.2842E-02
      11.00       6.4516E-02
      12.00       6.6350E-02
      13.00       6.8388E-02
      14.00       7.0633E-02
      15.00       7.3046E-02
      16.00       7.5683E-02
      17.00       7.8508E-02
      18.00       8.1492E-02
      19.00       8.4691E-02
      20.00       8.8068E-02
      21.00       9.1594E-02
      22.00       9.5367E-02
      23.00       9.9426E-02
      24.00       0.1038
      25.00       0.1086
      26.00       0.1144
      27.00       0.1214
      28.00       0.1303
      29.00       0.1431
      30.00       0.1659
      31.00       0.2076
      32.00       0.2726
      33.00       0.3558
      34.00       0.4475
      35.00       0.5386
      36.00       0.6228
      37.00       0.6967
      38.00       0.7593
      39.00       0.8109
      40.00       0.8525
      41.00       0.8857
      42.00       0.9118
      43.00       0.9321
      44.00       0.9480
      45.00       0.9602
      46.00       0.9696
      47.00       0.9768
      48.00       0.9823
      49.00       0.9865
      50.00       0.9897
      51.00       0.9922
      52.00       0.9940
      53.00       0.9955
      54.00       0.9965
      55.00       0.9974
      56.00       0.9980
      57.00       0.9985
      58.00       0.9988
      59.00       0.9991
      60.00       0.9993
      61.00       0.9995
      62.00       0.9996
      63.00       0.9997
      64.00       0.9998
      65.00       0.9998
      66.00       0.9999
      67.00       0.9999
      68.00       0.9999
      69.00       0.9999

