#   2H + 116Sn elastic scattering Elab=183 Mev
# --------- Optical Potential ---------  
#     r(fm)       V(MeV)       W(MeV)
       0.00       -39.0767       -17.0186
       0.01       -39.0767       -17.0186
       0.02       -39.0766       -17.0186
       0.03       -39.0766       -17.0186
       0.04       -39.0765       -17.0186
       0.05       -39.0765       -17.0186
       0.06       -39.0765       -17.0185
       0.07       -39.0765       -17.0185
       0.08       -39.0765       -17.0185
       0.09       -39.0766       -17.0185
       0.10       -39.0766       -17.0185
       0.11       -39.0767       -17.0185
       0.12       -39.0767       -17.0184
       0.13       -39.0768       -17.0184
       0.14       -39.0769       -17.0184
       0.15       -39.0770       -17.0184
       0.16       -39.0772       -17.0184
       0.17       -39.0773       -17.0183
       0.18       -39.0774       -17.0183
       0.19       -39.0776       -17.0183
       0.20       -39.0778       -17.0183
       0.21       -39.0780       -17.0183
       0.22       -39.0782       -17.0182
       0.23       -39.0784       -17.0182
       0.24       -39.0786       -17.0182
       0.25       -39.0788       -17.0182
       0.26       -39.0791       -17.0182
       0.27       -39.0794       -17.0181
       0.28       -39.0796       -17.0181
       0.29       -39.0799       -17.0181
       0.30       -39.0802       -17.0181
       0.31       -39.0806       -17.0180
       0.32       -39.0809       -17.0180
       0.33       -39.0812       -17.0180
       0.34       -39.0816       -17.0180
       0.35       -39.0819       -17.0180
       0.36       -39.0823       -17.0179
       0.37       -39.0827       -17.0179
       0.38       -39.0831       -17.0179
       0.39       -39.0835       -17.0179
       0.40       -39.0840       -17.0178
       0.41       -39.0844       -17.0178
       0.42       -39.0849       -17.0178
       0.43       -39.0853       -17.0178
       0.44       -39.0858       -17.0177
       0.45       -39.0863       -17.0177
       0.46       -39.0868       -17.0177
       0.47       -39.0873       -17.0176
       0.48       -39.0879       -17.0176
       0.49       -39.0884       -17.0176
       0.50       -39.0890       -17.0176
       0.51       -39.0895       -17.0175
       0.52       -39.0901       -17.0175
       0.53       -39.0907       -17.0175
       0.54       -39.0913       -17.0175
       0.55       -39.0919       -17.0174
       0.56       -39.0926       -17.0174
       0.57       -39.0932       -17.0174
       0.58       -39.0939       -17.0173
       0.59       -39.0945       -17.0173
       0.60       -39.0952       -17.0173
       0.61       -39.0959       -17.0172
       0.62       -39.0966       -17.0172
       0.63       -39.0973       -17.0172
       0.64       -39.0980       -17.0171
       0.65       -39.0988       -17.0171
       0.66       -39.0995       -17.0171
       0.67       -39.1003       -17.0170
       0.68       -39.1010       -17.0170
       0.69       -39.1018       -17.0170
       0.70       -39.1026       -17.0169
       0.71       -39.1034       -17.0169
       0.72       -39.1043       -17.0168
       0.73       -39.1051       -17.0168
       0.74       -39.1059       -17.0168
       0.75       -39.1068       -17.0167
       0.76       -39.1076       -17.0167
       0.77       -39.1085       -17.0167
       0.78       -39.1094       -17.0166
       0.79       -39.1103       -17.0166
       0.80       -39.1112       -17.0165
       0.81       -39.1122       -17.0165
       0.82       -39.1131       -17.0165
       0.83       -39.1140       -17.0164
       0.84       -39.1150       -17.0164
       0.85       -39.1160       -17.0163
       0.86       -39.1170       -17.0163
       0.87       -39.1180       -17.0163
       0.88       -39.1190       -17.0162
       0.89       -39.1200       -17.0162
       0.90       -39.1210       -17.0161
       0.91       -39.1220       -17.0161
       0.92       -39.1231       -17.0160
       0.93       -39.1242       -17.0160
       0.94       -39.1252       -17.0159
       0.95       -39.1263       -17.0159
       0.96       -39.1274       -17.0158
       0.97       -39.1285       -17.0158
       0.98       -39.1296       -17.0157
       0.99       -39.1307       -17.0157
       1.00       -39.1319       -17.0156
       1.01       -39.1330       -17.0156
       1.02       -39.1342       -17.0155
       1.03       -39.1354       -17.0155
       1.04       -39.1365       -17.0154
       1.05       -39.1377       -17.0154
       1.06       -39.1389       -17.0153
       1.07       -39.1401       -17.0153
       1.08       -39.1414       -17.0152
       1.09       -39.1426       -17.0152
       1.10       -39.1438       -17.0151
       1.11       -39.1451       -17.0150
       1.12       -39.1464       -17.0150
       1.13       -39.1476       -17.0149
       1.14       -39.1489       -17.0149
       1.15       -39.1502       -17.0148
       1.16       -39.1515       -17.0147
       1.17       -39.1528       -17.0147
       1.18       -39.1541       -17.0146
       1.19       -39.1555       -17.0146
       1.20       -39.1568       -17.0145
       1.21       -39.1582       -17.0144
       1.22       -39.1595       -17.0144
       1.23       -39.1609       -17.0143
       1.24       -39.1623       -17.0142
       1.25       -39.1637       -17.0142
       1.26       -39.1651       -17.0141
       1.27       -39.1665       -17.0140
       1.28       -39.1679       -17.0140
       1.29       -39.1693       -17.0139
       1.30       -39.1708       -17.0138
       1.31       -39.1722       -17.0137
       1.32       -39.1737       -17.0137
       1.33       -39.1751       -17.0136
       1.34       -39.1766       -17.0135
       1.35       -39.1781       -17.0134
       1.36       -39.1796       -17.0134
       1.37       -39.1811       -17.0133
       1.38       -39.1826       -17.0132
       1.39       -39.1841       -17.0131
       1.40       -39.1857       -17.0130
       1.41       -39.1872       -17.0130
       1.42       -39.1887       -17.0129
       1.43       -39.1903       -17.0128
       1.44       -39.1919       -17.0127
       1.45       -39.1934       -17.0126
       1.46       -39.1950       -17.0125
       1.47       -39.1966       -17.0125
       1.48       -39.1982       -17.0124
       1.49       -39.1998       -17.0123
       1.50       -39.2014       -17.0122
       1.51       -39.2030       -17.0121
       1.52       -39.2046       -17.0120
       1.53       -39.2063       -17.0119
       1.54       -39.2079       -17.0118
       1.55       -39.2096       -17.0117
       1.56       -39.2112       -17.0116
       1.57       -39.2129       -17.0115
       1.58       -39.2145       -17.0114
       1.59       -39.2162       -17.0113
       1.60       -39.2179       -17.0112
       1.61       -39.2196       -17.0111
       1.62       -39.2213       -17.0110
       1.63       -39.2230       -17.0109
       1.64       -39.2247       -17.0108
       1.65       -39.2264       -17.0107
       1.66       -39.2281       -17.0106
       1.67       -39.2299       -17.0105
       1.68       -39.2316       -17.0104
       1.69       -39.2334       -17.0103
       1.70       -39.2351       -17.0101
