#   2 + 116Sn elastic scattering Elab=183 Mev
# --------- Potential Spin-orbit for projectile and multipole = 0 ---------  
#     r(fm)       V(MeV)       W(MeV)
       0.00        -7.0374     0.0000E+00
       0.01        -3.5341     0.0000E+00
       0.02        -1.7825     0.0000E+00
       0.03        -1.1987     0.0000E+00
       0.04        -0.9069     0.0000E+00
       0.05        -0.7319     0.0000E+00
       0.06        -0.6152     0.0000E+00
       0.07        -0.5320     0.0000E+00
       0.08        -0.4695     0.0000E+00
       0.09        -0.4210     0.0000E+00
       0.10        -0.3822     0.0000E+00
       0.11        -0.3505     0.0000E+00
       0.12        -0.3241     0.0000E+00
       0.13        -0.3018     0.0000E+00
       0.14        -0.2827     0.0000E+00
       0.15        -0.2662     0.0000E+00
       0.16        -0.2517     0.0000E+00
       0.17        -0.2390     0.0000E+00
       0.18        -0.2277     0.0000E+00
       0.19        -0.2176     0.0000E+00
       0.20        -0.2085     0.0000E+00
       0.21        -0.2003     0.0000E+00
       0.22        -0.1929     0.0000E+00
       0.23        -0.1861     0.0000E+00
       0.24        -0.1799     0.0000E+00
       0.25        -0.1742     0.0000E+00
       0.26        -0.1690     0.0000E+00
       0.27        -0.1641     0.0000E+00
       0.28        -0.1596     0.0000E+00
       0.29        -0.1555     0.0000E+00
       0.30        -0.1516     0.0000E+00
       0.31        -0.1480     0.0000E+00
       0.32        -0.1446     0.0000E+00
       0.33        -0.1415     0.0000E+00
       0.34        -0.1385     0.0000E+00
       0.35        -0.1357     0.0000E+00
       0.36        -0.1331     0.0000E+00
       0.37        -0.1306     0.0000E+00
       0.38        -0.1283     0.0000E+00
       0.39        -0.1261     0.0000E+00
       0.40        -0.1240     0.0000E+00
       0.41        -0.1220     0.0000E+00
       0.42        -0.1202     0.0000E+00
       0.43        -0.1184     0.0000E+00
       0.44        -0.1167     0.0000E+00
       0.45        -0.1151     0.0000E+00
       0.46        -0.1136     0.0000E+00
       0.47        -0.1121     0.0000E+00
       0.48        -0.1107     0.0000E+00
       0.49        -0.1094     0.0000E+00
       0.50        -0.1082     0.0000E+00
       0.51        -0.1070     0.0000E+00
       0.52        -0.1058     0.0000E+00
       0.53        -0.1047     0.0000E+00
       0.54        -0.1037     0.0000E+00
       0.55        -0.1027     0.0000E+00
       0.56        -0.1017     0.0000E+00
       0.57        -0.1008     0.0000E+00
       0.58    -9.9919E-02     0.0000E+00
       0.59    -9.9077E-02     0.0000E+00
       0.60    -9.8270E-02     0.0000E+00
       0.61    -9.7496E-02     0.0000E+00
       0.62    -9.6755E-02     0.0000E+00
       0.63    -9.6043E-02     0.0000E+00
       0.64    -9.5361E-02     0.0000E+00
       0.65    -9.4707E-02     0.0000E+00
       0.66    -9.4079E-02     0.0000E+00
       0.67    -9.3476E-02     0.0000E+00
       0.68    -9.2898E-02     0.0000E+00
       0.69    -9.2344E-02     0.0000E+00
       0.70    -9.1811E-02     0.0000E+00
       0.71    -9.1301E-02     0.0000E+00
       0.72    -9.0810E-02     0.0000E+00
       0.73    -9.0340E-02     0.0000E+00
       0.74    -8.9889E-02     0.0000E+00
       0.75    -8.9456E-02     0.0000E+00
       0.76    -8.9041E-02     0.0000E+00
       0.77    -8.8643E-02     0.0000E+00
       0.78    -8.8262E-02     0.0000E+00
       0.79    -8.7896E-02     0.0000E+00
       0.80    -8.7546E-02     0.0000E+00
       0.81    -8.7210E-02     0.0000E+00
       0.82    -8.6889E-02     0.0000E+00
       0.83    -8.6582E-02     0.0000E+00
       0.84    -8.6288E-02     0.0000E+00
       0.85    -8.6007E-02     0.0000E+00
       0.86    -8.5738E-02     0.0000E+00
       0.87    -8.5482E-02     0.0000E+00
       0.88    -8.5238E-02     0.0000E+00
       0.89    -8.5005E-02     0.0000E+00
       0.90    -8.4783E-02     0.0000E+00
       0.91    -8.4572E-02     0.0000E+00
       0.92    -8.4372E-02     0.0000E+00
       0.93    -8.4182E-02     0.0000E+00
       0.94    -8.4002E-02     0.0000E+00
       0.95    -8.3831E-02     0.0000E+00
       0.96    -8.3670E-02     0.0000E+00
       0.97    -8.3518E-02     0.0000E+00
       0.98    -8.3374E-02     0.0000E+00
       0.99    -8.3240E-02     0.0000E+00
       1.00    -8.3114E-02     0.0000E+00
       1.01    -8.2996E-02     0.0000E+00
       1.02    -8.2886E-02     0.0000E+00
       1.03    -8.2785E-02     0.0000E+00
       1.04    -8.2690E-02     0.0000E+00
       1.05    -8.2604E-02     0.0000E+00
       1.06    -8.2524E-02     0.0000E+00
       1.07    -8.2452E-02     0.0000E+00
       1.08    -8.2387E-02     0.0000E+00
       1.09    -8.2329E-02     0.0000E+00
       1.10    -8.2277E-02     0.0000E+00
       1.11    -8.2233E-02     0.0000E+00
       1.12    -8.2194E-02     0.0000E+00
       1.13    -8.2162E-02     0.0000E+00
       1.14    -8.2136E-02     0.0000E+00
       1.15    -8.2116E-02     0.0000E+00
       1.16    -8.2102E-02     0.0000E+00
       1.17    -8.2094E-02     0.0000E+00
       1.18    -8.2092E-02     0.0000E+00
       1.19    -8.2095E-02     0.0000E+00
       1.20    -8.2104E-02     0.0000E+00
       1.21    -8.2118E-02     0.0000E+00
       1.22    -8.2138E-02     0.0000E+00
       1.23    -8.2162E-02     0.0000E+00
       1.24    -8.2192E-02     0.0000E+00
       1.25    -8.2228E-02     0.0000E+00
       1.26    -8.2268E-02     0.0000E+00
       1.27    -8.2313E-02     0.0000E+00
       1.28    -8.2363E-02     0.0000E+00
       1.29    -8.2417E-02     0.0000E+00
       1.30    -8.2476E-02     0.0000E+00
       1.31    -8.2540E-02     0.0000E+00
       1.32    -8.2609E-02     0.0000E+00
       1.33    -8.2682E-02     0.0000E+00
       1.34    -8.2760E-02     0.0000E+00
       1.35    -8.2841E-02     0.0000E+00
       1.36    -8.2928E-02     0.0000E+00
       1.37    -8.3018E-02     0.0000E+00
       1.38    -8.3113E-02     0.0000E+00
       1.39    -8.3212E-02     0.0000E+00
       1.40    -8.3315E-02     0.0000E+00
       1.41    -8.3422E-02     0.0000E+00
       1.42    -8.3533E-02     0.0000E+00
       1.43    -8.3648E-02     0.0000E+00
       1.44    -8.3767E-02     0.0000E+00
       1.45    -8.3889E-02     0.0000E+00
       1.46    -8.4016E-02     0.0000E+00
       1.47    -8.4146E-02     0.0000E+00
       1.48    -8.4281E-02     0.0000E+00
       1.49    -8.4419E-02     0.0000E+00
       1.50    -8.4560E-02     0.0000E+00
       1.51    -8.4705E-02     0.0000E+00
       1.52    -8.4854E-02     0.0000E+00
       1.53    -8.5007E-02     0.0000E+00
       1.54    -8.5163E-02     0.0000E+00
       1.55    -8.5322E-02     0.0000E+00
       1.56    -8.5485E-02     0.0000E+00
       1.57    -8.5652E-02     0.0000E+00
       1.58    -8.5821E-02     0.0000E+00
       1.59    -8.5995E-02     0.0000E+00
       1.60    -8.6171E-02     0.0000E+00
       1.61    -8.6351E-02     0.0000E+00
       1.62    -8.6535E-02     0.0000E+00
       1.63    -8.6721E-02     0.0000E+00
       1.64    -8.6911E-02     0.0000E+00
       1.65    -8.7104E-02     0.0000E+00
       1.66    -8.7300E-02     0.0000E+00
       1.67    -8.7500E-02     0.0000E+00
       1.68    -8.7703E-02     0.0000E+00
       1.69    -8.7909E-02     0.0000E+00
       1.70    -8.8118E-02     0.0000E+00
       1.71    -8.8330E-02     0.0000E+00
       1.72    -8.8545E-02     0.0000E+00
       1.73    -8.8763E-02     0.0000E+00
       1.74    -8.8984E-02     0.0000E+00
       1.75    -8.9209E-02     0.0000E+00
       1.76    -8.9436E-02     0.0000E+00
       1.77    -8.9667E-02     0.0000E+00
       1.78    -8.9900E-02     0.0000E+00
       1.79    -9.0136E-02     0.0000E+00
       1.80    -9.0376E-02     0.0000E+00
       1.81    -9.0618E-02     0.0000E+00
       1.82    -9.0863E-02     0.0000E+00
       1.83    -9.1111E-02     0.0000E+00
       1.84    -9.1362E-02     0.0000E+00
       1.85    -9.1616E-02     0.0000E+00
       1.86    -9.1873E-02     0.0000E+00
       1.87    -9.2133E-02     0.0000E+00
       1.88    -9.2395E-02     0.0000E+00
       1.89    -9.2661E-02     0.0000E+00
       1.90    -9.2929E-02     0.0000E+00
       1.91    -9.3200E-02     0.0000E+00
       1.92    -9.3474E-02     0.0000E+00
       1.93    -9.3750E-02     0.0000E+00
       1.94    -9.4030E-02     0.0000E+00
       1.95    -9.4312E-02     0.0000E+00
       1.96    -9.4597E-02     0.0000E+00
       1.97    -9.4884E-02     0.0000E+00
       1.98    -9.5175E-02     0.0000E+00
       1.99    -9.5468E-02     0.0000E+00
       2.00    -9.5764E-02     0.0000E+00
       2.01    -9.6062E-02     0.0000E+00
       2.02    -9.6364E-02     0.0000E+00
       2.03    -9.6667E-02     0.0000E+00
       2.04    -9.6974E-02     0.0000E+00
       2.05    -9.7283E-02     0.0000E+00
       2.06    -9.7595E-02     0.0000E+00
       2.07    -9.7910E-02     0.0000E+00
       2.08    -9.8227E-02     0.0000E+00
       2.09    -9.8547E-02     0.0000E+00
       2.10    -9.8870E-02     0.0000E+00
       2.11    -9.9195E-02     0.0000E+00
       2.12    -9.9523E-02     0.0000E+00
       2.13    -9.9853E-02     0.0000E+00
       2.14        -0.1002     0.0000E+00
       2.15        -0.1005     0.0000E+00
       2.16        -0.1009     0.0000E+00
       2.17        -0.1012     0.0000E+00
       2.18        -0.1015     0.0000E+00
       2.19        -0.1019     0.0000E+00
       2.20        -0.1022     0.0000E+00
       2.21        -0.1026     0.0000E+00
       2.22        -0.1029     0.0000E+00
       2.23        -0.1033     0.0000E+00
       2.24        -0.1037     0.0000E+00
       2.25        -0.1040     0.0000E+00
       2.26        -0.1044     0.0000E+00
       2.27        -0.1047     0.0000E+00
       2.28        -0.1051     0.0000E+00
       2.29        -0.1055     0.0000E+00
       2.30        -0.1059     0.0000E+00
       2.31        -0.1062     0.0000E+00
       2.32        -0.1066     0.0000E+00
       2.33        -0.1070     0.0000E+00
       2.34        -0.1074     0.0000E+00
       2.35        -0.1078     0.0000E+00
       2.36        -0.1082     0.0000E+00
       2.37        -0.1085     0.0000E+00
       2.38        -0.1089     0.0000E+00
       2.39        -0.1093     0.0000E+00
       2.40        -0.1097     0.0000E+00
       2.41        -0.1101     0.0000E+00
       2.42        -0.1105     0.0000E+00
       2.43        -0.1109     0.0000E+00
       2.44        -0.1113     0.0000E+00
       2.45        -0.1118     0.0000E+00
       2.46        -0.1122     0.0000E+00
       2.47        -0.1126     0.0000E+00
       2.48        -0.1130     0.0000E+00
       2.49        -0.1134     0.0000E+00
       2.50        -0.1138     0.0000E+00
       2.51        -0.1143     0.0000E+00
       2.52        -0.1147     0.0000E+00
       2.53        -0.1151     0.0000E+00
       2.54        -0.1156     0.0000E+00
       2.55        -0.1160     0.0000E+00
       2.56        -0.1164     0.0000E+00
       2.57        -0.1169     0.0000E+00
       2.58        -0.1173     0.0000E+00
       2.59        -0.1177     0.0000E+00
       2.60        -0.1182     0.0000E+00
       2.61        -0.1186     0.0000E+00
       2.62        -0.1191     0.0000E+00
       2.63        -0.1195     0.0000E+00
       2.64        -0.1200     0.0000E+00
       2.65        -0.1204     0.0000E+00
       2.66        -0.1209     0.0000E+00
       2.67        -0.1214     0.0000E+00
       2.68        -0.1218     0.0000E+00
       2.69        -0.1223     0.0000E+00
       2.70        -0.1228     0.0000E+00
       2.71        -0.1232     0.0000E+00
       2.72        -0.1237     0.0000E+00
       2.73        -0.1242     0.0000E+00
       2.74        -0.1246     0.0000E+00
       2.75        -0.1251     0.0000E+00
       2.76        -0.1256     0.0000E+00
       2.77        -0.1261     0.0000E+00
       2.78        -0.1266     0.0000E+00
       2.79        -0.1270     0.0000E+00
       2.80        -0.1275     0.0000E+00
       2.81        -0.1280     0.0000E+00
       2.82        -0.1285     0.0000E+00
       2.83        -0.1290     0.0000E+00
       2.84        -0.1295     0.0000E+00
       2.85        -0.1300     0.0000E+00
       2.86        -0.1305     0.0000E+00
       2.87        -0.1310     0.0000E+00
       2.88        -0.1315     0.0000E+00
       2.89        -0.1320     0.0000E+00
       2.90        -0.1325     0.0000E+00
       2.91        -0.1330     0.0000E+00
       2.92        -0.1335     0.0000E+00
       2.93        -0.1340     0.0000E+00
       2.94        -0.1346     0.0000E+00
       2.95        -0.1351     0.0000E+00
       2.96        -0.1356     0.0000E+00
       2.97        -0.1361     0.0000E+00
       2.98        -0.1366     0.0000E+00
       2.99        -0.1371     0.0000E+00
       3.00        -0.1377     0.0000E+00
       3.01        -0.1382     0.0000E+00
       3.02        -0.1387     0.0000E+00
       3.03        -0.1393     0.0000E+00
       3.04        -0.1398     0.0000E+00
       3.05        -0.1403     0.0000E+00
       3.06        -0.1408     0.0000E+00
       3.07        -0.1414     0.0000E+00
       3.08        -0.1419     0.0000E+00
       3.09        -0.1425     0.0000E+00
       3.10        -0.1430     0.0000E+00
       3.11        -0.1435     0.0000E+00
       3.12        -0.1441     0.0000E+00
       3.13        -0.1446     0.0000E+00
       3.14        -0.1452     0.0000E+00
       3.15        -0.1457     0.0000E+00
       3.16        -0.1463     0.0000E+00
       3.17        -0.1468     0.0000E+00
       3.18        -0.1474     0.0000E+00
       3.19        -0.1479     0.0000E+00
       3.20        -0.1485     0.0000E+00
       3.21        -0.1490     0.0000E+00
       3.22        -0.1496     0.0000E+00
       3.23        -0.1501     0.0000E+00
       3.24        -0.1507     0.0000E+00
       3.25        -0.1512     0.0000E+00
       3.26        -0.1518     0.0000E+00
       3.27        -0.1524     0.0000E+00
       3.28        -0.1529     0.0000E+00
       3.29        -0.1535     0.0000E+00
       3.30        -0.1541     0.0000E+00
       3.31        -0.1546     0.0000E+00
       3.32        -0.1552     0.0000E+00
       3.33        -0.1557     0.0000E+00
       3.34        -0.1563     0.0000E+00
       3.35        -0.1569     0.0000E+00
       3.36        -0.1574     0.0000E+00
       3.37        -0.1580     0.0000E+00
       3.38        -0.1586     0.0000E+00
       3.39        -0.1592     0.0000E+00
       3.40        -0.1597     0.0000E+00
       3.41        -0.1603     0.0000E+00
       3.42        -0.1609     0.0000E+00
       3.43        -0.1614     0.0000E+00
       3.44        -0.1620     0.0000E+00
       3.45        -0.1626     0.0000E+00
       3.46        -0.1632     0.0000E+00
       3.47        -0.1637     0.0000E+00
       3.48        -0.1643     0.0000E+00
       3.49        -0.1649     0.0000E+00
       3.50        -0.1655     0.0000E+00
       3.51        -0.1660     0.0000E+00
       3.52        -0.1666     0.0000E+00
       3.53        -0.1672     0.0000E+00
       3.54        -0.1678     0.0000E+00
       3.55        -0.1683     0.0000E+00
       3.56        -0.1689     0.0000E+00
