 #b(fm)                     Theta(deg)                 Theta(Rutherford)(deg)
  0.10000000149011612      -0.16460884531829889        126.89579628661306     
  0.20000000298023224      -0.32910317406406847        90.032378789056779     
  0.30000000447034836      -0.49378965821954701        67.410026413533600     
  0.40000000596046448      -0.65884957885663986        53.156009777863133     
  0.50000000745058060      -0.82444225125830528        43.625153742307361     
  0.60000000894069672      -0.99071759536744564        36.889329312070913     
  0.70000001043081284       -1.1578323288008134        31.907901682320841     
  0.80000001192092896       -1.3259387518664230        28.087727813167902     
  0.90000001341104507       -1.4951890756749813        25.071332299120286     
   1.0000000149011612       -1.6657431878578437        22.632321577704715     
   1.1000000163912773       -1.8377603212729787        20.621093286647607     
   1.2000000178813934       -2.0114068529021636        18.935148452754191     
   1.3000000193715096       -2.1868501314663993        17.502059501624075     
   1.4000000208616257       -2.3642657097931417        16.269273229360181     
   1.5000000223517418       -2.5438352544182621        15.197772576890202     
   1.6000000238418579       -2.7257457680584385        14.258005044802985     
   1.7000000253319740       -2.9101918855483433        13.427190212838468     
   1.8000000268220901       -3.0973763561912260        12.687492990912375     
   1.9000000283122063       -3.2875106756532975        12.024755663742781     
   2.0000000298023224       -3.4808158118062309        11.427599692840232     
   2.1000000312924385       -3.6775229940568686        10.886777709766676     
   2.2000000327825546       -3.8778743660821271        10.394698236852349     
   2.3000000342726707       -4.0821233605156166        9.9450718464003955     
   2.4000000357627869       -4.2905366436715937        9.5326441232640491     
   2.5000000372529030       -4.5033946792405155        9.1529916175680341     
   2.6000000387430191       -4.7209925738533753        8.8023641433779858     
   2.7000000402331352       -4.9436406700601152        8.4775616129593629     
   2.8000000417232513       -5.1716647009540484        8.1758369089675398     
   2.9000000432133675       -5.4054091988486439        7.8948186014444843     
   3.0000000447034836       -5.6452374099774678        7.6324489420816519     
   3.1000000461935997       -5.8915311687211114        7.3869337297123536     
   3.2000000476837158       -6.1446924119266164        7.1567014809079694     
   3.3000000491738319       -6.4051460247367267        6.9403699537160435     
   3.4000000506639481       -6.6733388816461039        6.7367185263791498     
   3.5000000521540642       -6.9497398528739680        6.5446652714704783     
   3.6000000536441803       -7.2348436395421167        6.3632478208422754     
   3.7000000551342964       -7.5291695700446954        6.1916073104281679     
   3.8000000566244125       -7.8332607608190470        6.0289748422090099     
   3.9000000581145287       -8.1476874488013440        5.8746600150491872     
   4.0000000596046448       -8.4730454071260226        5.7280411650148721     
   4.1000000610947609       -8.8099541037294227        5.5885570253495871     
   4.2000000625848770       -9.1590586200515336        5.4556995710675267     
   4.3000000640749931       -9.5210269866320107        5.3290078565388512     
   4.4000000655651093       -9.8965465377177306        5.2080626890414123     
   4.5000000670552254       -10.286323014616771        5.0924820089873322     
   4.6000000685453415       -10.691075616019676        4.9819168698757039     
   4.7000000700354576       -11.111530107696295        4.8760479291197782     
   4.8000000715255737       -11.548412089085859        4.7745823756195591     
   4.9000000730156898       -12.002437756128108        4.6772512319876398     
   5.0000000745058060       -12.474300443432087        4.5838069792184797     
   5.1000000759959221       -12.964653973976564        4.4940214597399688     
   5.2000000774860382       -13.474092924321960        4.4076840215319066     
   5.3000000789761543       -14.003126327288809        4.3245998716025156     
   5.4000000804662704       -14.552144135121555        4.2445886117899647     
   5.5000000819563866       -15.121375151578665        4.1674829337726749     
   5.6000000834465027       -15.710833751698122        4.0931274534585214     
   5.7000000849366188       -16.320252359939154        4.0213776676976920     
   5.8000000864267349       -16.948995991796853        3.9520990186045140     
   5.9000000879168510       -17.595953766468643        3.8851660527641343     
   6.0000000894069672       -18.259401443758936        3.8204616642885014     
   6.1000000908970833       -18.936827640871861        3.7578764121286667     
   6.2000000923871994       -19.624714276234091        3.6973079032849796     
   6.3000000938773155       -20.318260835132847        3.6386602346138375     
   6.4000000953674316       -21.011041067321461        3.5818434868395741     
   6.5000000968575478       -21.694582651079134        3.5267732651645929     
   6.6000000983476639       -22.357861123232269        3.4733702815480569     
   6.7000000998377800       -22.986716581226915        3.4215599743114637     
   6.8000001013278961       -23.563220499627960        3.3712721612367034     
   6.9000001028180122       -24.065069837702985        3.3224407227679933     
   7.0000001043081284       -24.465156662774888        3.2750033123136575     
   7.1000001057982445       -24.731580573494593        3.2289010909821343     
   7.2000001072883606       -24.828511751529906        3.1840784843815868     
   7.3000001087784767       -24.718427885250634        3.1404829593719228     
   7.4000001102685928       -24.366221522227793        3.0980648188861153     
   7.5000001117587090       -23.745273901774130        3.0567770131371503     
   7.6000001132488251       -22.844692890638932        3.0165749657043648     
   7.7000001147389412       -21.675672581992107        2.9774164131499674     
   7.8000001162290573       -20.274166562295271        2.9392612569520793     
   7.9000001177191734       -18.697847740888832        2.9020714266667937     
   8.0000001192092896       -17.017929940874268        2.8658107533367172     
   8.1000001206994057       -15.310795463398883        2.8304448522632697     
   8.2000001221895218       -13.644741550056892        2.7959410143442085     
   8.3000001236796379       -12.039158554225946        2.7622681052548330     
   8.4000001251697540       -10.527284579121915        2.7293964718211328     
   8.5000001266598701       -9.1292423811089964        2.6972978549926552     
   8.6000001281499863       -7.8541253885159961        2.6659453088792873     
   8.7000001296401024       -6.7030441212154850        2.6353131253645188     
   8.8000001311302185       -5.6718440500861718        2.6053767638521776     
   8.9000001326203346       -4.7532323385355850        2.5761127857437316     
   9.0000001341104507       -3.9383031993989133        2.5474987932784643     
   9.1000001356005669       -3.2175610015630038        2.5195133724013203     
   9.2000001370906830       -2.5815658855361638        2.4921360393528857     
   9.3000001385807991       -2.0213141011229183        2.4653471907008395     
   9.4000001400709152       -1.5284408178820494        2.4391280565578768     
   9.5000001415610313       -1.0953089038235464        2.4134606567507433     
   9.6000001430511475      -0.71502739205431565        2.3883277597261667     
   9.7000001445412636      -0.38142869197979595        2.3637128439956143     
   9.8000001460313797       -8.9023327691937063E-002   2.3396000619388531     
   9.9000001475214958       0.16705599090086801        2.3159742057985966     
   10.000000149011612       0.39111374368933094        2.2928206757135285     
   10.100000150501728       0.58695018281565203        2.2701254496487593     
   10.200000151991844       0.75791677260126733        2.2478750550935445     
   10.300000153481960       0.90696731490021676        2.2260565424054732     
   10.400000154972076        1.0367043094129920        2.2046574596923847     
   10.500000156462193        1.1494205194118829        2.1836658291268805     
   10.600000157952309        1.2471359571079272        2.1630701246016315     
   10.700000159442425        1.3316306207023969        2.1428592506357518     
   10.800000160932541        1.4044733709081874        2.1230225224527146     
   10.900000162422657        1.4670473438101375        2.1035496471533293     
   11.000000163912773        1.5205722835201956        2.0844307059155653     
   11.100000165402889        1.5661241520473030        2.0656561371551447     
   11.200000166893005        1.6046523424031485        2.0472167205880965     
   11.300000168383121        1.6369947872357520        2.0291035621383742     
   11.400000169873238        1.6638912224296387        2.0113080796397753     
   11.500000171363354        1.6859948352664400        1.9938219892829068     
   11.600000172853470        1.7038824987370316        1.9766372927628311     
   11.700000174343586        1.7180637671398096        1.9597462650852435     
