Theta (deg)	Sigma Ratio
6.88	0.07334764871122812
7.39	0.02624142076489365
7.9	0.10417190693881548
8.41	0.30292786993989246
8.92	0.5573984035508934
9.43	0.800338698868899
14.01	0.20329038020587406
14.52	0.3329527356072891
15.03	0.49592523693423496
15.54	0.6343544173098467
16.05	0.7611096527846027
16.56	0.7607541445029601
17.06	0.7176473557984857
17.57	0.5930678248321042
18.08	0.4832380926800871
18.59	0.3725245435595876
19.1	0.2872243886271277
19.61	0.25425400440245577
20.12	0.24279564509959722
20.63	0.2631405510786058
21.14	0.31531867132052643
21.65	0.36099610836592055
22.15	0.3888933752195978
22.66	0.4100543675391607
23.17	0.37141104732110325
23.68	0.3289446171171181
24.19	0.29488242692744043
24.7	0.2496131977494221
25.21	0.21647601918401202
25.71	0.19016195451134857
26.22	0.17032383543894525
26.73	0.15923996279787678
27.24	0.1691605573827059
27.75	0.17616092214237433
28.26	0.18591584762824442
28.77	0.18941698202133367
29.27	0.18025469402278388
29.78	0.16409586847430083
30.29	0.14230637465506046
30.8	0.12828082337363264
31.31	0.11614960956631427
31.82	0.0968157027170628
32.32	0.0745802489197623
32.83	0.06735937570679161
33.34	0.0746259592714524
33.85	0.06946165012390454
34.36	0.07110463808196262
34.86	0.06693253887517431
35.37	0.06535986979695449
35.88	0.06611778355448407
36.39	0.065036049685246
36.89	0.05399048257152661
37.4	0.05105793485498564
37.91	0.03977063170998411
